subject,stimulus,response,reactionTime
Joh_28_1_1_0,"166,plop,176",1,4085471201998730
Joh_28_1_1_0,"181,plop,166",2,3.87891640500093E+016
Joh_28_1_1_0,"176,plop,161",2,5.03407011599993E+016
Joh_28_1_1_0,"166,plop,196",1,4039117652000280
Joh_28_1_1_0,"221,plop,166",2,327647109400059
Joh_28_1_1_0,"196,plop,176",2,4594487894000490
Joh_28_1_1_0,"171,plop,206",1,4780980649000050
Joh_28_1_1_0,"191,plop,216",1,4029598105998590
Joh_28_1_1_0,"206,plop,181",2,4032629572000220
Joh_28_1_1_0,"191,plop,171",2,5403225020999890
Joh_28_1_1_0,"176,plop,181",1,4.18074079500147E+016
Joh_28_1_1_0,"216,plop,161",2,3872756614000170
Joh_28_1_1_0,"221,plop,211",2,4659813341000340
Joh_28_1_1_0,"206,plop,161",2,4331910721000530
Joh_28_1_1_0,"166,plop,186",1,437233900200008
Joh_28_1_1_0,"206,plop,201",1,1.39815573800079E+016
Joh_28_1_1_0,"201,plop,221",1,4188278093000550
Joh_28_1_1_0,"191,plop,166",2,4803335340000190
Joh_28_1_1_0,"216,plop,176",2,4337153182999460
Joh_28_1_1_0,"211,plop,166",2,1.15258437100019E+016
Joh_28_1_1_0,"221,plop,206",2,4056587370001220
Joh_28_1_1_0,"161,plop,181",1,4.07188824899968E+016
Joh_28_1_1_0,"171,plop,216",1,4617487007000450
Joh_28_1_1_0,"201,plop,211",1,3892206288999300
Joh_28_1_1_0,"186,plop,206",1,9.9838282600067E+015
Joh_28_1_1_0,"171,plop,176",1,1.0947497330013E+016
Joh_28_1_1_0,"161,plop,171",1,4.70381550799866E+016
Joh_28_1_1_0,"171,plop,166",2,4317596730999500
Joh_28_1_1_0,"191,plop,206",1,4174669227999040
Joh_28_1_1_0,"161,plop,211",1,3.39371947400068E+016
Joh_28_1_1_0,"166,plop,216",1,3.96512881299859E+016
Joh_28_1_1_0,"206,plop,216",1,3.71680481599979E+016
Joh_28_1_1_0,"181,plop,201",1,4477013940000320
Joh_28_1_1_0,"216,plop,221",1,6668008188000020
Joh_28_1_1_0,"171,plop,196",1,1.11849762600068E+016
Joh_28_1_1_0,"201,plop,171",2,4032957035000070
Joh_28_1_1_0,"186,plop,196",1,4406564567999890
Joh_28_1_1_0,"221,plop,186",2,4548159060999390
Joh_28_1_1_0,"191,plop,186",1,4304359220999320
Joh_28_1_1_0,"186,plop,216",1,4817086651999120
Joh_28_1_1_0,"216,plop,181",2,5213288726999600
Joh_28_1_1_0,"176,plop,211",1,3616626406000800
Joh_28_1_1_0,"196,plop,221",1,371394980499972
Joh_28_1_1_0,"186,plop,161",2,5168268319000710
Joh_28_1_1_0,"166,plop,161",2,3.87280864599925E+016
Joh_28_1_1_0,"196,plop,201",1,462861312800087
Joh_28_1_1_0,"221,plop,191",2,3.85360612899931E+016
Joh_28_1_1_0,"181,plop,211",1,1.19313727370005E+016
Joh_28_1_1_0,"216,plop,201",2,4116921951999390
Joh_28_1_1_0,"196,plop,161",2,4115912935999950
Joh_28_1_1_0,"181,plop,221",1,4256280937000700
Joh_28_1_1_0,"176,plop,191",1,3.83659077499906E+016
Joh_28_1_1_0,"201,plop,191",2,4462640641000330
Joh_28_1_1_0,"206,plop,176",2,453993052100086
Joh_28_1_1_0,"166,plop,206",1,4864431079000130
